Company_Symbol,Year,Total_Board_Meetings_Per_Year,Company_Overall_Attendance,Total_Should_Attend,Company_Overall_Attendance_Percentage
LANNA,2021,N/A,N/A,N/A,N/A
LANNA,2022,6,71,72,98.61
LANNA,2023,6,67,72,93.06
LANNA,2024,8,92,97,94.85
LANNA,2025,7,76,81,93.83
LANNA,2026,N/A,N/A,N/A,N/A
LDC,2021,N/A,N/A,N/A,N/A
LDC,2022,N/A,N/A,N/A,N/A
LDC,2023,5,40,40,100.0
LDC,2024,5,36,36,100.0
LDC,2025,4,28,28,100.0
LDC,2026,N/A,N/A,N/A,N/A
LEE,2021,N/A,N/A,N/A,N/A
LEE,2022,5,39,40,97.5
LEE,2023,5,40,40,100.0
LEE,2024,6,47,47,100.0
LEE,2025,4,27,32,84.38
LEE,2026,N/A,N/A,N/A,N/A
LEO,2021,N/A,N/A,N/A,N/A
LEO,2022,9,81,81,100.0
LEO,2023,7,62,63,98.41
LEO,2024,6,51,54,94.44
LEO,2025,8,71,72,98.61
LEO,2026,N/A,N/A,N/A,N/A
LHFG,2021,N/A,N/A,N/A,N/A
LHFG,2022,12,129,130,99.23
LHFG,2023,13,137,143,95.8
LHFG,2024,12,131,132,99.24
LHFG,2025,N/A,N/A,N/A,N/A
LHFG,2026,N/A,N/A,N/A,N/A
LHK,2021,N/A,N/A,N/A,N/A
LHK,2022,4,26,27,96.3
LHK,2023,4,25,28,89.29
LHK,2024,4,27,28,96.43
LHK,2025,N/A,N/A,N/A,N/A
LHK,2026,N/A,N/A,N/A,N/A
LH,2021,N/A,N/A,N/A,N/A
LH,2022,5,44,45,97.78
LH,2023,7,62,62,100.0
LH,2024,7,62,62,100.0
LH,2025,N/A,N/A,N/A,N/A
LH,2026,N/A,N/A,N/A,N/A
LIT,2021,N/A,N/A,N/A,N/A
LIT,2022,18,140,144,97.22
LIT,2023,12,91,92,98.91
LIT,2024,10,80,80,100.0
LIT,2025,10,73,73,100.0
LIT,2026,N/A,N/A,N/A,N/A
LOXLEY,2021,N/A,N/A,N/A,N/A
LOXLEY,2022,6,72,72,100.0
LOXLEY,2023,7,82,83,98.8
LOXLEY,2024,7,77,84,91.67
LOXLEY,2025,7,83,84,98.81
LOXLEY,2026,N/A,N/A,N/A,N/A
LPH,2021,N/A,N/A,N/A,N/A
LPH,2022,N/A,N/A,N/A,N/A
LPH,2023,6,55,60,91.67
LPH,2024,6,54,54,100.0
LPH,2025,N/A,N/A,N/A,N/A
LPH,2026,N/A,N/A,N/A,N/A
LPN,2021,N/A,N/A,N/A,N/A
LPN,2022,7,83,84,98.81
LPN,2023,7,90,90,100.0
LPN,2024,9,104,107,97.2
LPN,2025,12,124,131,94.66
LPN,2026,N/A,N/A,N/A,N/A
LRH,2021,N/A,N/A,N/A,N/A
LRH,2022,4,47,47,100.0
LRH,2023,4,43,44,97.73
LRH,2024,4,43,44,97.73
LRH,2025,5,50,51,98.04
LRH,2026,N/A,N/A,N/A,N/A
LST,2021,N/A,N/A,N/A,N/A
LST,2022,7,64,66,96.97
LST,2023,7,60,63,95.24
LST,2024,7,62,63,98.41
LST,2025,7,61,63,96.83
LST,2026,N/A,N/A,N/A,N/A
M-CHAI,2021,N/A,N/A,N/A,N/A
M-CHAI,2022,6,71,78,91.03
M-CHAI,2023,6,73,78,93.59
M-CHAI,2024,6,72,78,92.31
M-CHAI,2025,N/A,N/A,N/A,N/A
M-CHAI,2026,N/A,N/A,N/A,N/A
MADAME,2021,N/A,N/A,N/A,N/A
MADAME,2022,N/A,N/A,N/A,N/A
MADAME,2023,14,114,116,98.28
MADAME,2024,14,107,110,97.27
MADAME,2025,N/A,N/A,N/A,N/A
MADAME,2026,N/A,N/A,N/A,N/A
MAJOR,2021,N/A,N/A,N/A,N/A
MAJOR,2022,6,65,66,98.48
MAJOR,2023,6,65,66,98.48
MAJOR,2024,7,72,74,97.3
MAJOR,2025,6,60,60,100.0
MAJOR,2026,N/A,N/A,N/A,N/A
MALEE,2021,N/A,N/A,N/A,N/A
MALEE,2022,5,37,37,100.0
MALEE,2023,5,39,39,100.0
MALEE,2024,4,32,32,100.0
MALEE,2025,6,47,48,97.92
MALEE,2026,N/A,N/A,N/A,N/A
MANRIN,2021,N/A,N/A,N/A,N/A
MANRIN,2022,5,35,40,87.5
MANRIN,2023,4,28,28,100.0
MANRIN,2024,4,28,28,100.0
MANRIN,2025,4,28,28,100.0
MANRIN,2026,N/A,N/A,N/A,N/A
MASTER,2021,N/A,N/A,N/A,N/A
MASTER,2022,9,68,68,100.0
MASTER,2023,9,68,68,100.0
MASTER,2024,N/A,N/A,N/A,N/A
MASTER,2025,N/A,N/A,N/A,N/A
MASTER,2026,N/A,N/A,N/A,N/A
MATCH,2021,N/A,N/A,N/A,N/A
MATCH,2022,14,123,126,97.62
MATCH,2023,15,134,135,99.26
MATCH,2024,14,119,126,94.44
MATCH,2025,15,131,135,97.04
MATCH,2026,N/A,N/A,N/A,N/A
MATI,2021,N/A,N/A,N/A,N/A
MATI,2022,N/A,N/A,N/A,N/A
MATI,2023,12,144,156,92.31
MATI,2024,12,136,153,88.89
MATI,2025,12,123,132,93.18
MATI,2026,N/A,N/A,N/A,N/A
MBAX,2021,N/A,N/A,N/A,N/A
MBAX,2022,12,126,132,95.45
MBAX,2023,12,123,132,93.18
MBAX,2024,12,115,120,95.83
MBAX,2025,10,85,90,94.44
MBAX,2026,N/A,N/A,N/A,N/A
MBK,2021,N/A,N/A,N/A,N/A
MBK,2022,12,120,120,100.0
MBK,2023,12,120,120,100.0
MBK,2024,12,120,120,100.0
MBK,2025,12,120,120,100.0
MBK,2026,N/A,N/A,N/A,N/A
MCA,2021,N/A,N/A,N/A,N/A
MCA,2022,N/A,N/A,N/A,N/A
MCA,2023,5,37,40,92.5
MCA,2024,4,30,32,93.75
MCA,2025,4,35,35,100.0
MCA,2026,N/A,N/A,N/A,N/A
MCOT,2021,N/A,N/A,N/A,N/A
MCOT,2022,N/A,N/A,N/A,N/A
MCOT,2023,19,169,171,98.83
MCOT,2024,15,150,153,98.04
MCOT,2025,9,228,235,97.02
MCOT,2026,N/A,N/A,N/A,N/A
MCS,2021,N/A,N/A,N/A,N/A
MCS,2022,5,41,45,91.11
MCS,2023,9,73,81,90.12
MCS,2024,6,43,48,89.58
MCS,2025,N/A,N/A,N/A,N/A
MCS,2026,N/A,N/A,N/A,N/A
MC,2021,N/A,N/A,N/A,N/A
MC,2022,N/A,N/A,N/A,N/A
MC,2023,7,53,54,98.15
MC,2024,5,44,45,97.78
MC,2025,6,53,53,100.0
MC,2026,N/A,N/A,N/A,N/A
MDX,2021,N/A,N/A,N/A,N/A
MDX,2022,6,42,42,100.0
MDX,2023,5,35,35,100.0
MDX,2024,11,75,99,75.76
MDX,2025,N/A,N/A,N/A,N/A
MDX,2026,N/A,N/A,N/A,N/A
MEB,2021,N/A,N/A,N/A,N/A
MEB,2022,9,86,90,95.56
MEB,2023,6,60,60,100.0
MEB,2024,5,49,50,98.0
MEB,2025,5,50,50,100.0
MEB,2026,N/A,N/A,N/A,N/A
MEGA,2021,N/A,N/A,N/A,N/A
MEGA,2022,7,66,70,94.29
MEGA,2023,7,67,75,89.33
MEGA,2024,7,75,77,97.4
MEGA,2025,8,79,88,89.77
MEGA,2026,N/A,N/A,N/A,N/A
MENA,2021,N/A,N/A,N/A,N/A
MENA,2022,11,84,88,95.45
MENA,2023,9,67,72,93.06
MENA,2024,8,64,64,100.0
MENA,2025,9,71,72,98.61
MENA,2026,N/A,N/A,N/A,N/A
META,2021,N/A,N/A,N/A,N/A
META,2022,8,66,69,95.65
META,2023,12,91,96,94.79
META,2024,11,91,96,94.79
META,2025,N/A,N/A,N/A,N/A
META,2026,N/A,N/A,N/A,N/A
METCO,2021,N/A,N/A,N/A,N/A
METCO,2022,4,28,28,100.0
METCO,2023,4,27,28,96.43
METCO,2024,4,30,31,96.77
METCO,2025,4,31,32,96.88
METCO,2026,N/A,N/A,N/A,N/A
MFC,2021,N/A,N/A,N/A,N/A
MFC,2022,10,122,126,96.83
MFC,2023,10,135,136,99.26
MFC,2024,12,147,151,97.35
MFC,2025,11,127,133,95.49
MFC,2026,N/A,N/A,N/A,N/A
MFEC,2021,N/A,N/A,N/A,N/A
MFEC,2022,6,60,60,100.0
MFEC,2023,8,79,80,98.75
MFEC,2024,7,70,70,100.0
MFEC,2025,7,70,70,100.0
MFEC,2026,N/A,N/A,N/A,N/A
MGC,2021,N/A,N/A,N/A,N/A
MGC,2022,N/A,N/A,N/A,N/A
MGC,2023,7,90,91,98.9
MGC,2024,7,91,91,100.0
MGC,2025,7,90,91,98.9
MGC,2026,N/A,N/A,N/A,N/A
MGI,2021,N/A,N/A,N/A,N/A
MGI,2022,N/A,N/A,N/A,N/A
MGI,2023,N/A,N/A,N/A,N/A
MGI,2024,7,49,49,100.0
MGI,2025,7,48,49,97.96
MGI,2026,N/A,N/A,N/A,N/A
MGT,2021,N/A,N/A,N/A,N/A
MGT,2022,5,35,35,100.0
MGT,2023,5,39,39,100.0
MGT,2024,6,47,48,97.92
MGT,2025,4,32,32,100.0
MGT,2026,N/A,N/A,N/A,N/A
MICRO,2021,N/A,N/A,N/A,N/A
MICRO,2022,12,132,132,100.0
MICRO,2023,10,109,110,99.09
MICRO,2024,10,109,120,90.83
MICRO,2025,8,92,92,100.0
MICRO,2026,N/A,N/A,N/A,N/A
MIDA,2021,N/A,N/A,N/A,N/A
MIDA,2022,20,148,160,92.5
MIDA,2023,21,161,168,95.83
MIDA,2024,23,176,207,85.02
MIDA,2025,17,127,136,93.38
MIDA,2026,N/A,N/A,N/A,N/A
MILL,2021,N/A,N/A,N/A,N/A
MILL,2022,11,95,99,95.96
MILL,2023,41,194,199,97.49
MILL,2024,8,68,72,94.44
MILL,2025,N/A,N/A,N/A,N/A
MILL,2026,N/A,N/A,N/A,N/A
MINT,2021,N/A,N/A,N/A,N/A
MINT,2022,6,61,65,93.85
MINT,2023,8,78,80,97.5
MINT,2024,7,66,67,98.51
MINT,2025,9,80,81,98.77
MINT,2026,N/A,N/A,N/A,N/A
MITSIB,2021,N/A,N/A,N/A,N/A
MITSIB,2022,4,32,36,88.89
MITSIB,2023,4,32,32,100.0
MITSIB,2024,4,32,32,100.0
MITSIB,2025,4,31,32,96.88
MITSIB,2026,N/A,N/A,N/A,N/A
MJD,2021,N/A,N/A,N/A,N/A
MJD,2022,6,32,42,76.19
MJD,2023,12,76,84,90.48
MJD,2024,13,84,91,92.31
MJD,2025,N/A,N/A,N/A,N/A
MJD,2026,N/A,N/A,N/A,N/A
MK,2021,N/A,N/A,N/A,N/A
MK,2022,12,93,96,96.88
MK,2023,11,76,79,96.2
MK,2024,14,96,98,97.96
MK,2025,N/A,N/A,N/A,N/A
MK,2026,N/A,N/A,N/A,N/A
ML,2021,N/A,N/A,N/A,N/A
ML,2022,19,167,171,97.66
ML,2023,18,160,162,98.77
ML,2024,21,180,189,95.24
ML,2025,14,111,112,99.11
ML,2026,N/A,N/A,N/A,N/A
MODERN,2021,N/A,N/A,N/A,N/A
MODERN,2022,7,79,91,86.81
MODERN,2023,6,63,66,95.45
MODERN,2024,5,49,55,89.09
MODERN,2025,5,53,55,96.36
MODERN,2026,N/A,N/A,N/A,N/A
MONO,2021,N/A,N/A,N/A,N/A
MONO,2022,6,48,48,100.0
MONO,2023,8,61,61,100.0
MONO,2024,10,72,72,100.0
MONO,2025,7,75,75,100.0
MONO,2026,N/A,N/A,N/A,N/A
MOONG,2021,N/A,N/A,N/A,N/A
MOONG,2022,4,36,36,100.0
MOONG,2023,4,32,32,100.0
MOONG,2024,4,33,33,100.0
MOONG,2025,4,35,35,100.0
MOONG,2026,N/A,N/A,N/A,N/A
MORE,2021,N/A,N/A,N/A,N/A
MORE,2022,7,51,56,91.07
MORE,2023,5,40,40,100.0
MORE,2024,6,48,48,100.0
MORE,2025,4,32,32,100.0
MORE,2026,N/A,N/A,N/A,N/A
MOSHI,2021,N/A,N/A,N/A,N/A
MOSHI,2022,N/A,N/A,N/A,N/A
MOSHI,2023,8,79,88,89.77
MOSHI,2024,6,60,60,100.0
MOSHI,2025,7,66,70,94.29
MOSHI,2026,N/A,N/A,N/A,N/A
MSC,2021,N/A,N/A,N/A,N/A
MSC,2022,5,41,45,91.11
MSC,2023,5,42,43,97.67
MSC,2024,5,45,45,100.0
MSC,2025,5,44,45,97.78
MSC,2026,N/A,N/A,N/A,N/A
MST,2021,N/A,N/A,N/A,N/A
MST,2022,12,70,72,97.22
MST,2023,11,50,50,100.0
MST,2024,9,53,54,98.15
MST,2025,15,87,90,96.67
MST,2026,N/A,N/A,N/A,N/A
MTC,2021,N/A,N/A,N/A,N/A
MTC,2022,N/A,N/A,N/A,N/A
MTC,2023,7,42,49,85.71
MTC,2024,10,60,70,85.71
MTC,2025,11,70,78,89.74
MTC,2026,N/A,N/A,N/A,N/A
MTI,2021,N/A,N/A,N/A,N/A
MTI,2022,5,81,83,97.59
MTI,2023,5,73,77,94.81
MTI,2024,6,103,106,97.17
MTI,2025,6,103,108,95.37
MTI,2026,N/A,N/A,N/A,N/A
MTW,2021,N/A,N/A,N/A,N/A
MTW,2022,N/A,N/A,N/A,N/A
MTW,2023,N/A,N/A,N/A,N/A
MTW,2024,N/A,N/A,N/A,N/A
MTW,2025,N/A,N/A,N/A,N/A
MTW,2026,N/A,N/A,N/A,N/A
MUD,2021,N/A,N/A,N/A,N/A
MUD,2022,4,42,44,95.45
MUD,2023,5,51,55,92.73
MUD,2024,N/A,N/A,N/A,N/A
MUD,2025,N/A,N/A,N/A,N/A
MUD,2026,N/A,N/A,N/A,N/A
MVP,2021,N/A,N/A,N/A,N/A
MVP,2022,8,72,72,100.0
MVP,2023,6,36,36,100.0
MVP,2024,6,60,60,100.0
MVP,2025,N/A,N/A,N/A,N/A
MVP,2026,N/A,N/A,N/A,N/A
M,2021,N/A,N/A,N/A,N/A
M,2022,5,48,50,96.0
M,2023,5,53,54,98.15
M,2024,6,64,66,96.97
M,2025,6,64,66,96.97
M,2026,N/A,N/A,N/A,N/A
NAM,2021,N/A,N/A,N/A,N/A
NAM,2022,N/A,N/A,N/A,N/A
NAM,2023,11,87,88,98.86
NAM,2024,8,63,63,100.0
NAM,2025,7,56,56,100.0
NAM,2026,N/A,N/A,N/A,N/A
NATION,2021,N/A,N/A,N/A,N/A
NATION,2022,10,87,90,96.67
NATION,2023,6,43,48,89.58
NATION,2024,5,38,40,95.0
NATION,2025,7,50,56,89.29
NATION,2026,N/A,N/A,N/A,N/A
NAT,2021,N/A,N/A,N/A,N/A
NAT,2022,N/A,N/A,N/A,N/A
NAT,2023,9,57,58,98.28
NAT,2024,9,68,68,100.0
NAT,2025,6,42,42,100.0
NAT,2026,N/A,N/A,N/A,N/A
NCAP,2021,N/A,N/A,N/A,N/A
NCAP,2022,6,54,58,93.1
NCAP,2023,4,39,39,100.0
NCAP,2024,6,58,59,98.31
NCAP,2025,5,48,49,97.96
NCAP,2026,N/A,N/A,N/A,N/A
NCH,2021,N/A,N/A,N/A,N/A
NCH,2022,6,42,42,100.0
NCH,2023,7,48,49,97.96
NCH,2024,6,42,42,100.0
NCH,2025,7,48,48,100.0
NCH,2026,N/A,N/A,N/A,N/A
NCL,2021,N/A,N/A,N/A,N/A
NCL,2022,10,79,90,87.78
NCL,2023,8,60,61,98.36
NCL,2024,10,78,78,100.0
NCL,2025,5,42,42,100.0
NCL,2026,N/A,N/A,N/A,N/A
NC,2021,N/A,N/A,N/A,N/A
NC,2022,6,53,53,100.0
NC,2023,4,36,36,100.0
NC,2024,5,43,45,95.56
NC,2025,5,43,45,95.56
NC,2026,N/A,N/A,N/A,N/A
NDR,2021,N/A,N/A,N/A,N/A
NDR,2022,4,32,32,100.0
NDR,2023,4,28,32,87.5
NDR,2024,7,54,64,84.38
NDR,2025,6,43,54,79.63
NDR,2026,N/A,N/A,N/A,N/A
NEP,2021,N/A,N/A,N/A,N/A
NEP,2022,12,121,133,90.98
NEP,2023,18,122,141,86.52
NEP,2024,11,77,86,89.53
NEP,2025,11,72,74,97.3
NEP,2026,N/A,N/A,N/A,N/A
NER,2021,N/A,N/A,N/A,N/A
NER,2022,7,49,49,100.0
NER,2023,8,56,56,100.0
NER,2024,9,63,63,100.0
NER,2025,7,49,49,100.0
NER,2026,N/A,N/A,N/A,N/A
NETBAY,2021,N/A,N/A,N/A,N/A
NETBAY,2022,5,33,35,94.29
NETBAY,2023,4,28,28,100.0
NETBAY,2024,6,41,41,100.0
NETBAY,2025,4,31,32,96.88
NETBAY,2026,N/A,N/A,N/A,N/A
NEW,2021,N/A,N/A,N/A,N/A
NEW,2022,6,45,47,95.74
NEW,2023,4,31,32,96.88
NEW,2024,4,28,29,96.55
NEW,2025,N/A,N/A,N/A,N/A
NEW,2026,N/A,N/A,N/A,N/A
NEX,2021,N/A,N/A,N/A,N/A
NEX,2022,N/A,N/A,N/A,N/A
NEX,2023,N/A,N/A,N/A,N/A
NEX,2024,14,109,120,90.83
NEX,2025,21,199,205,97.07
NEX,2026,N/A,N/A,N/A,N/A
NFC,2021,N/A,N/A,N/A,N/A
NFC,2022,N/A,N/A,N/A,N/A
NFC,2023,5,39,40,97.5
NFC,2024,4,29,32,90.62
NFC,2025,N/A,N/A,N/A,N/A
NFC,2026,N/A,N/A,N/A,N/A
NKI,2021,N/A,N/A,N/A,N/A
NKI,2022,7,85,87,97.7
NKI,2023,8,95,98,96.94
NKI,2024,7,87,90,96.67
NKI,2025,7,82,87,94.25
NKI,2026,N/A,N/A,N/A,N/A
NL,2021,N/A,N/A,N/A,N/A
NL,2022,N/A,N/A,N/A,N/A
NL,2023,6,53,54,98.15
NL,2024,4,35,36,97.22
NL,2025,4,34,35,97.14
NL,2026,N/A,N/A,N/A,N/A
NNCL,2021,N/A,N/A,N/A,N/A
NNCL,2022,N/A,N/A,N/A,N/A
NNCL,2023,11,98,110,89.09
NNCL,2024,14,113,129,87.6
NNCL,2025,12,112,113,99.12
NNCL,2026,N/A,N/A,N/A,N/A
NOBLE,2021,N/A,N/A,N/A,N/A
NOBLE,2022,9,84,90,93.33
NOBLE,2023,10,95,100,95.0
NOBLE,2024,7,72,74,97.3
NOBLE,2025,8,83,87,95.4
NOBLE,2026,N/A,N/A,N/A,N/A
NOVA,2021,N/A,N/A,N/A,N/A
NOVA,2022,8,71,72,98.61
NOVA,2023,N/A,N/A,N/A,N/A
NOVA,2024,11,85,87,97.7
NOVA,2025,5,34,36,94.44
NOVA,2026,N/A,N/A,N/A,N/A
NPK,2021,N/A,N/A,N/A,N/A
NPK,2022,5,34,35,97.14
NPK,2023,N/A,N/A,N/A,N/A
NPK,2024,7,48,49,97.96
NPK,2025,N/A,N/A,N/A,N/A
NPK,2026,N/A,N/A,N/A,N/A
NRF,2021,N/A,N/A,N/A,N/A
NRF,2022,12,91,96,94.79
NRF,2023,15,127,131,96.95
NRF,2024,22,203,208,97.6
NRF,2025,18,129,136,94.85
NRF,2026,N/A,N/A,N/A,N/A
NSL,2021,N/A,N/A,N/A,N/A
NSL,2022,6,48,48,100.0
NSL,2023,6,48,48,100.0
NSL,2024,7,56,56,100.0
NSL,2025,7,56,56,100.0
NSL,2026,N/A,N/A,N/A,N/A
NTSC,2021,N/A,N/A,N/A,N/A
NTSC,2022,6,42,42,100.0
NTSC,2023,5,35,45,77.78
NTSC,2024,6,42,42,100.0
NTSC,2025,7,49,49,100.0
NTSC,2026,N/A,N/A,N/A,N/A
NTV,2021,N/A,N/A,N/A,N/A
NTV,2022,9,63,63,100.0
NTV,2023,8,56,56,100.0
NTV,2024,8,56,56,100.0
NTV,2025,8,56,56,100.0
NTV,2026,N/A,N/A,N/A,N/A
NVD,2021,N/A,N/A,N/A,N/A
NVD,2022,8,69,69,100.0
NVD,2023,5,45,45,100.0
NVD,2024,10,88,89,98.88
NVD,2025,7,62,63,98.41
NVD,2026,N/A,N/A,N/A,N/A
NV,2021,9,91,94,96.81
NV,2022,6,44,44,100.0
NV,2023,4,28,28,100.0
NV,2024,5,32,32,100.0
NV,2025,5,29,30,96.67
NV,2026,N/A,N/A,N/A,N/A
NWR,2021,N/A,N/A,N/A,N/A
NWR,2022,13,110,117,94.02
NWR,2023,N/A,N/A,N/A,N/A
NWR,2024,13,104,117,88.89
NWR,2025,12,97,108,89.81
NWR,2026,N/A,N/A,N/A,N/A
NYT,2021,N/A,N/A,N/A,N/A
NYT,2022,5,59,60,98.33
NYT,2023,5,59,59,100.0
NYT,2024,5,59,59,100.0
NYT,2025,4,42,43,97.67
NYT,2026,N/A,N/A,N/A,N/A
OCC,2021,N/A,N/A,N/A,N/A
OCC,2022,12,61,63,96.83
OCC,2023,7,62,63,98.41
OCC,2024,7,62,70,88.57
OCC,2025,N/A,N/A,N/A,N/A
OCC,2026,N/A,N/A,N/A,N/A
OGC,2021,N/A,N/A,N/A,N/A
OGC,2022,12,102,108,94.44
OGC,2023,14,114,126,90.48
OGC,2024,15,119,135,88.15
OGC,2025,14,113,125,90.4
OGC,2026,N/A,N/A,N/A,N/A
OHTL,2021,N/A,N/A,N/A,N/A
OHTL,2022,4,39,44,88.64
OHTL,2023,4,38,44,86.36
OHTL,2024,4,41,44,93.18
OHTL,2025,4,41,43,95.35
OHTL,2026,N/A,N/A,N/A,N/A
ONEE,2021,N/A,N/A,N/A,N/A
ONEE,2022,N/A,N/A,N/A,N/A
ONEE,2023,5,73,85,85.88
ONEE,2024,7,87,91,95.6
ONEE,2025,5,63,64,98.44
ONEE,2026,N/A,N/A,N/A,N/A
ORI,2021,N/A,N/A,N/A,N/A
ORI,2022,9,81,81,100.0
ORI,2023,6,53,54,98.15
ORI,2024,5,45,45,100.0
ORI,2025,8,69,70,98.57
ORI,2026,N/A,N/A,N/A,N/A
ORN,2021,N/A,N/A,N/A,N/A
ORN,2022,N/A,N/A,N/A,N/A
ORN,2023,7,42,42,100.0
ORN,2024,5,29,29,100.0
ORN,2025,4,24,24,100.0
ORN,2026,N/A,N/A,N/A,N/A
OR,2021,N/A,N/A,N/A,N/A
OR,2022,17,213,214,99.53
OR,2023,14,208,210,99.05
OR,2024,18,241,245,98.37
OR,2025,20,273,280,97.5
OR,2026,N/A,N/A,N/A,N/A
OSP,2021,N/A,N/A,N/A,N/A
OSP,2022,13,207,221,93.67
OSP,2023,15,230,254,90.55
OSP,2024,17,276,289,95.5
OSP,2025,11,175,187,93.58
OSP,2026,N/A,N/A,N/A,N/A
PACO,2021,N/A,N/A,N/A,N/A
PACO,2022,4,28,28,100.0
PACO,2023,4,28,28,100.0
PACO,2024,5,32,33,96.97
PACO,2025,4,26,28,92.86
PACO,2026,N/A,N/A,N/A,N/A
PAF,2021,N/A,N/A,N/A,N/A
PAF,2022,N/A,N/A,N/A,N/A
PAF,2023,N/A,N/A,N/A,N/A
PAF,2024,N/A,N/A,N/A,N/A
PAF,2025,N/A,N/A,N/A,N/A
PAF,2026,N/A,N/A,N/A,N/A
PANEL,2021,N/A,N/A,N/A,N/A
PANEL,2022,N/A,N/A,N/A,N/A
PANEL,2023,8,57,60,95.0
PANEL,2024,5,40,40,100.0
PANEL,2025,4,32,32,100.0
PANEL,2026,N/A,N/A,N/A,N/A
PAP,2021,N/A,N/A,N/A,N/A
PAP,2022,8,55,56,98.21
PAP,2023,7,59,59,100.0
PAP,2024,6,54,54,100.0
PAP,2025,6,54,54,100.0
PAP,2026,N/A,N/A,N/A,N/A
PATO,2021,N/A,N/A,N/A,N/A
PATO,2022,4,43,44,97.73
PATO,2023,5,51,60,85.0
PATO,2024,4,40,44,90.91
PATO,2025,N/A,N/A,N/A,N/A
PATO,2026,N/A,N/A,N/A,N/A
PB,2021,N/A,N/A,N/A,N/A
PB,2022,12,178,180,98.89
PB,2023,12,183,183,100.0
PB,2024,12,179,180,99.44
PB,2025,12,172,176,97.73
PB,2026,N/A,N/A,N/A,N/A
PCC,2021,N/A,N/A,N/A,N/A
PCC,2022,12,118,120,98.33
PCC,2023,10,96,100,96.0
PCC,2024,11,106,108,98.15
PCC,2025,8,87,88,98.86
PCC,2026,N/A,N/A,N/A,N/A
PCSGH,2021,N/A,N/A,N/A,N/A
PCSGH,2022,6,51,54,94.44
PCSGH,2023,6,52,54,96.3
PCSGH,2024,6,51,54,94.44
PCSGH,2025,6,52,54,96.3
PCSGH,2026,N/A,N/A,N/A,N/A
PDG,2021,N/A,N/A,N/A,N/A
PDG,2022,7,62,63,98.41
PDG,2023,7,69,69,100.0
PDG,2024,7,68,70,97.14
PDG,2025,7,63,64,98.44
PDG,2026,N/A,N/A,N/A,N/A
PDJ,2021,N/A,N/A,N/A,N/A
PDJ,2022,6,52,56,92.86
PDJ,2023,7,51,56,91.07
PDJ,2024,6,49,54,90.74
PDJ,2025,5,43,45,95.56
PDJ,2026,N/A,N/A,N/A,N/A
PEACE,2021,N/A,N/A,N/A,N/A
PEACE,2022,6,65,66,98.48
PEACE,2023,6,64,66,96.97
PEACE,2024,6,65,66,98.48
PEACE,2025,6,62,66,93.94
PEACE,2026,N/A,N/A,N/A,N/A
PEER,2021,N/A,N/A,N/A,N/A
PEER,2022,7,69,69,100.0
PEER,2023,22,187,191,97.91
PEER,2024,17,128,128,100.0
PEER,2025,11,65,65,100.0
PEER,2026,N/A,N/A,N/A,N/A
PERM,2021,N/A,N/A,N/A,N/A
PERM,2022,5,45,45,100.0
PERM,2023,5,43,45,95.56
PERM,2024,5,35,36,97.22
PERM,2025,4,38,40,95.0
PERM,2026,N/A,N/A,N/A,N/A
PF,2021,N/A,N/A,N/A,N/A
PF,2022,N/A,N/A,N/A,N/A
PF,2023,4,55,56,98.21
PF,2024,5,68,70,97.14
PF,2025,5,55,55,100.0
PF,2026,N/A,N/A,N/A,N/A
PG,2021,N/A,N/A,N/A,N/A
PG,2022,5,64,65,98.46
PG,2023,N/A,N/A,N/A,N/A
PG,2024,5,63,65,96.92
PG,2025,N/A,N/A,N/A,N/A
PG,2026,N/A,N/A,N/A,N/A
PHG,2021,N/A,N/A,N/A,N/A
PHG,2022,N/A,N/A,N/A,N/A
PHG,2023,N/A,N/A,N/A,N/A
PHG,2024,4,39,41,95.12
PHG,2025,N/A,N/A,N/A,N/A
PHG,2026,N/A,N/A,N/A,N/A
PHOL,2021,N/A,N/A,N/A,N/A
PHOL,2022,9,74,75,98.67
PHOL,2023,9,81,81,100.0
PHOL,2024,8,72,72,100.0
PHOL,2025,8,69,69,100.0
PHOL,2026,N/A,N/A,N/A,N/A
PICO,2021,N/A,N/A,N/A,N/A
PICO,2022,N/A,N/A,N/A,N/A
PICO,2023,6,49,52,94.23
PICO,2024,10,67,69,97.1
PICO,2025,11,67,69,97.1
PICO,2026,N/A,N/A,N/A,N/A
PIMO,2021,N/A,N/A,N/A,N/A
PIMO,2022,6,48,48,100.0
PIMO,2023,5,39,40,97.5
PIMO,2024,4,31,32,96.88
PIMO,2025,4,32,32,100.0
PIMO,2026,N/A,N/A,N/A,N/A
PIN,2021,N/A,N/A,N/A,N/A
PIN,2022,6,60,60,100.0
PIN,2023,4,40,40,100.0
PIN,2024,4,37,37,100.0
PIN,2025,5,45,45,100.0
PIN,2026,N/A,N/A,N/A,N/A
PJW,2021,N/A,N/A,N/A,N/A
PJW,2022,N/A,N/A,N/A,N/A
PJW,2023,N/A,N/A,N/A,N/A
PJW,2024,7,63,63,100.0
PJW,2025,N/A,N/A,N/A,N/A
PJW,2026,N/A,N/A,N/A,N/A
PK,2021,N/A,N/A,N/A,N/A
PK,2022,N/A,N/A,N/A,N/A
PK,2023,6,64,64,100.0
PK,2024,5,48,50,96.0
PK,2025,7,60,63,95.24
PK,2026,N/A,N/A,N/A,N/A
PLANB,2021,N/A,N/A,N/A,N/A
PLANB,2022,9,72,72,100.0
